id,post_id,headline,post_date,page_url,borough,preference,place,body_text,latitude,longitude,created_at,updated_at,location_source
1,5323491172,"Sun, 12/28: NEWARK AIRPORT to PENN STATION - m4w",2015-11-19 17:14,/mnh/mis/5323491172.html,mnh,m4w,"","It was December 28th last year, in the evening hours, at Newark Airport, at the train station where you transfer from the Airtrain to the train to New York. Just before the turnstiles, you almost ran me over, rushing to be first at the NJ Transit ticket machine. A few minutes later, we are standing next to each other down by the escalator on the platform, waiting for the train to Manhattan. Our eyes met multiple times, but my brain was too dead after a long flight to strike up a conversation. It took a railway worker's announcement for us to utter the first few words. You asked me something, and I only managed to say two or three words. A few moments later, we are sitting in the waiting area across from each other, and I glanced at you a few times, unable to keep my eyes off of you. Before boarding the train, we stood next to each other on the platform. You went to sit on the upper deck, I stayed downstairs. I saw you one more time, then lost you at Penn Station. You: dark blond / light brunette hair, light color trench coat, grey jacket, knit sweater, scarf, brown pants, light brown shoes, brown leather duffel bag, maroon handbag, a red leather document briefcase, and a white iPhone 5c with pink ear phones. If you read this, send me a message and describe what I look like. We need to have a coffee.",40.7127837,-74.0059413,2015-11-19 22:46:02.832593,2015-11-19 22:46:02.832593,Google Places API
2,5323480113,We passed on 58th St and 9th - m4m,2015-11-19 17:07,/mnh/mis/5323480113.html,mnh,m4m,Midtown West,"We made eyes walking past each other last night near the corner of 9th Ave and 58th street. Maybe you'll see this, if so describe yourself.",40.768335,-73.984337,2015-11-19 22:46:03.266187,2015-11-19 22:46:03.266187,detail page
3,5323471096,X17 - m4m,2015-11-19 17:00,/stn/mis/5323471096.html,stn,m4m,Staten Island,You sat next to meOn the way home from the city was a long bus ride we sat in traffic on the Goethals bridge. I thought u were so hotI saw u texting some guy and he was sending u videos. Hope u see this.,40.603900,-74.147200,2015-11-19 22:46:03.749942,2015-11-19 22:46:03.749942,detail page
4,5323455094,Dinner last night - m4w,2015-11-19 16:49,/brk/mis/5323455094.html,brk,m4w,Brooklyn,Where were we?what was i wearing? who were you with? did u stand up to do anything mid meal?pls be out there ...i can get u out of my head,40.7217239,-73.9571722,2015-11-19 22:46:05.567692,2015-11-19 22:46:05.567692,Google Places API
5,5323429923,looking for you - m4w,2015-11-19 16:33,/brk/mis/5323429923.html,brk,m4w,boro park,"This happened this noon, in borough park, i was at the light making a right when you almost hit my car from making a right turn from the outer lane. At the next light i opened my window and yelled at you from frustration and you answered me back, it was on a street turning unto 13 th avenue, if you see this message please reply to me with the color car you were driving as i would like to appoligize and make up for it.And the words you told me when yelling back at me still ring in my ears",40.638486,-73.99859099999999,2015-11-19 22:46:06.992996,2015-11-19 22:46:06.992996,Google Places API
6,5323405430,Reclusive Poet - m4w,2015-11-19 16:29,/mnh/mis/5323405430.html,mnh,m4w,Road Noise,"So I come hereIn the simplicity of the dawnBefore the noise of humanityBlights my paradise of tranquilityHave become impatient with peopleGetting my wisdom now from dogsNo lies from the furThe nose tells allI'm the quiet and introspective type Never mistake my silence for weaknessWhen I speak it will be loud and clearUntil then however, walk pretty, hold my hand",40.7660574,-73.9468793,2015-11-19 22:46:08.626616,2015-11-19 22:46:08.626616,Google Places API
7,5323375124,BB BOTTOM for BB TOP - m4m,2015-11-19 16:28,/mnh/mis/5323375124.html,mnh,m4m,Midtown,Horny gay bottom butt looking for top young guy to cum pound me hard.Love big balls to suck big cocks and huge loads in my ass. no games please be under 30yo. clean fit h/w prop d&d free.Lets get naked and play and have some!,40.748400,-73.996700,2015-11-19 22:46:09.226316,2015-11-19 22:46:09.226316,detail page
8,5323396109,1.37 train to day - m4w,2015-11-19 16:11,/wch/mis/5323396109.html,wch,m4w,Larchmont,"We both got up at New Ro in advance of getting off in Larchmont. We shared a look of lust and hunger and intrigue while trying not to look deeper into each others souls while waiting for the door to open. I held back all the others to let the lady (you) off first and your replied ""thank you sir..."" We went our separate ways but would love to back track and go the same way?",40.9272541,-73.751564,2015-11-19 22:46:11.189228,2015-11-19 22:46:11.189228,Google Places API
9,5323360663,re:Karma - m4mw,2015-11-19 15:59,/mnh/mis/5323360663.html,mnh,4mw,brusselS,"She said stop cheating and all he did was lie.He's the one who took. She took nothing.If my wife needed help, I would be there for her.This is so stupid.............!He is to blame and he is suffering Karma.There will be more karma for him, for you,and the russian hooker.......If you asked himabout intentions he would laugh in your face.He doesn't care about intentions....He onlycares about himself and actions thatsuit him and his lying lifestyle. Hissecret erotic lifestyle....hehe...I read this one too. It's funny.You do not have a brain that works.PS - anybody who goes to the m4w section.There is a long creepy ad about a manwho enjoys eroticism. He is a sociopath!",40.724267,-73.856512,2015-11-19 22:46:12.623318,2015-11-19 22:46:12.623318,Google Places API
10,5323300749,Kissed My Hand - w4m,2015-11-19 15:35,/mnh/mis/5323300749.html,mnh,w4m,9/11 Memorial,"Today you stopped me to ask me a few questions... You kissed my hand and wanted to walk with me, but I had to meet a friend...",40.7082563,-74.0349396,2015-11-19 22:46:14.360963,2015-11-19 22:46:14.360963,Google Places API
