id,post_id,headline,post_date,page_url,borough,preference,place,body_text,latitude,longitude,created_at,updated_at,location_source
1,5296160753,Vampire missed phone # for New pretty female Turkish Friends m4w - m4w,2015-11-02 00:06,/mnh/mis/5296160753.html,mnh,m4w,Greenwich Village,"Met In 34th street subway Halloween eve, we talked, and laughed and would like to again...out of costume ;)Yasemine and Yelda, hope you both got home safe.",40.732577,-74.002249,2015-11-02 05:16:27.839852,2015-11-02 05:16:27.839852,
2,5296148109,Ralph from the bronx - w4m,2015-11-01 23:32,/brx/mis/5296148109.html,brx,w4m,"","I met this guy on 10/30/15 in new paltz NY at a bar. W exchanged numbers but my phone died before i could save it. He was either spanish maybe dominican or light skin black, wore glasses, and about 26-30. I usually don't do this but if its you send me an email!",40.7127837,-74.0059413,2015-11-02 05:16:29.111261,2015-11-02 05:16:29.111261,
3,5296145945,BALLET FLATS $SHOEPLAY $$ - m4w,2015-11-01 23:28,/mnh/mis/5296145945.html,mnh,m4w,Chinatown / Lit Italy,"I am a guy who has a serious fetish for women's flats. I love to see a woman cross her legs and playfully dangle the flat off of her foot, playing with it. I love it soo much I'm willing to pay upwards of 350$ an hour to schedule a time to watch you do this. We can meet in public (always public for both our concerns) and you can study or whatever and I'll discreetly watch your natural dangle.If you are interested, please be ready to send pictures of your flats (as I need to see if your flats are of my preference) I like older, well worn, used flats btw :) but really I'm a sucker for all ballet/ballerina flats...pointy toe, almond toe... I love them. and please let me know your height/weight, race, and shoe size.Please provide your personal email address as well, as CL emails sometimes get blocked or pinned as SPAM. Thank you and hope to speak soon !!",40.718982,-73.99672,2015-11-02 05:16:30.695726,2015-11-02 05:16:30.695726,
4,5296141268,"Girl on R train from Union, then N train. I got off at Prince - m4w",2015-11-01 23:22,/brk/mis/5296141268.html,brk,m4w,"","I boarded the R train with you at Union street, then transferred to the N train at Atlantic Avenue/Barclays. You were with two friends at first, but then it was only you. It took me until I was about to get off the train at prince street and say something to you. You told me although I look ""cute"", you can't let me take you out because you are in a relationship. Now, I've been struggling with relationships recently. Haven't found anyone lately that has really peaked my interest. But I mean this, you are special. I thought about you all night, told my friend how I got rejected by someone who I actually think something could have happened with. Yes, I am basing this off of very little, and yes it is out of line for me to say this, but please let me take you out for at least a coffee. You are beautiful. I had on a green coat, you had one a black coat with black hair and bangs. I hope you had a good evening.",40.7127837,-74.0059413,2015-11-02 05:16:31.566633,2015-11-02 05:16:31.566633,
5,5296138872,"Gorgeous Dutch Girl, Columbia Graduate, Energy - m4w",2015-11-01 23:19,/mnh/mis/5296138872.html,mnh,m4w,Harlem / Morningside,"We met in West Harlem, in a bar on 123rd street. We were both with friends. It would be wonderful to see you again.Cheers",40.805093,-73.959127,2015-11-02 05:16:33.150859,2015-11-02 05:16:33.150859,
6,5296131921,16th Mile-Marathon - m4m,2015-11-01 23:09,/mnh/mis/5296131921.html,mnh,m4m,Midtown East,"You were wearing an Ironman drawstring bag. We kept making strong eye contact, but you were with your wife.",40.757501,-73.970008,2015-11-02 05:16:34.805252,2015-11-02 05:16:34.805252,
7,5296121343,Halloween on NQR Train - 14th St (Cat girl seeks TALL Latino) - w4m,2015-11-01 22:55,/mnh/mis/5296121343.html,mnh,w4m,Downtown,"I'm going to give this a try because I have no idea if I'll ever get to see you again. Especially since you were on a date... We were waiting for the train (either the N,Q, or R going uptown) on what I believe was union square. We caught each other's eyes but you were with someone who was obviously drunk and being quite aggressive towards you. I stepped away out of respect but was surprised and pleased to have you sit right next to me. We were separated by my bag which read ""Chicago"", but were so close our shoulders touched. It took everything in me not to look over to my left and stare into your eyes. But it was impossible. It was too tempting. And I even giggled out loud bc the tension was incredible.Me: Hispanic, caramel skin, leather cat outfit zippers lining the outside of the ears and down the front of my pants. I wore a black and yellow batman bra, black fading into gray wig (lol- my natural hair is brown and shoulder length). I was the spawn of batman/cat woman. ;)You: Gorgeous, Hispanic, black jacket (I think, your eyes were too much of a distraction), tall (5'11-6'3 ?), tan skin, black hair, deep piercing, brown eyes. Your date was sleeping on your lap. You were upset, for obvious reasons, but engaging.Bat/Cat girl - NQR Train",40.708319,-74.010284,2015-11-02 05:16:36.42634,2015-11-02 05:16:36.42634,
8,5296110164,So silly on the C Train tonight - w4m,2015-11-01 22:41,/mnh/mis/5296110164.html,mnh,w4m,Inwood / Wash Hts,"So silly that I felt so shy even though I'm pretty sure I caught you looking my way?You were a tall fellow with glasses, carrying pizza maybe?What was in the box?",40.845181,-73.939347,2015-11-02 05:16:40.932133,2015-11-02 05:16:40.932133,
9,5296108823,Allie: The ER Med Student at HappyFun Hideaway - m4w,2015-11-01 22:40,/brk/mis/5296108823.html,brk,m4w,Bushwick,"Allie, or Ally. I met you at HappyFun Hideaway last night on Halloween. I was in a business suit with a blue cashmere sweater, a red tie, slicked back hair and cheap, tacky, white vampire teeth. I'm Jason. We met in line at the toilets. You were wearing a legged, checkered, blue and green dress. You mentioned that you were in your second year of medical school, you were planning on majoring in ER medicine and you were with your Sister who was in from Pittsburgh. I told you that I was an actor and you mentioned catching up with your friend who is an actress. You left with your group and said goodbye and good luck. I felt like an idiot for not at least asking whether I would see you around. You were very present and receptive in your environment and a relaxed person to talk to. I have almost no hope of hearing from you on this, but I thought I would give it a shot. Reply to this and I would love to see you again.Jason",40.707639,-73.921818,2015-11-02 05:16:42.468457,2015-11-02 05:16:42.468457,
10,5296080662,To the most beautiful woman with the beautifully flowered name - m4w,2015-11-01 22:27,/mnh/mis/5296080662.html,mnh,m4w,"","Good Night Precious,""She wasn't doing a thing that I could see, except standing there leaning on the balcony railing, holding the universe together.""............................................................................J.D. SalingerI love you.........................................................................................................................................................................",40.7127837,-74.0059413,2015-11-02 05:16:43.48753,2015-11-02 05:16:43.48753,
11,5275043333,freaky Sexy slim hung n soft - t4m,2015-11-01 22:26,/brx/mis/5275043333.html,brx,t4m,jerome ave 204th,"Anything goes, no blocked calls no out calls. Pretty. T's looking. To party. three four seven N play. Love. To party. six zero seven Calling from Jerome. Ave. N 2o4th Ask for Pics Two Eight. Two. Six gigi. Here Lets. Pop Party. N play send pics no blocked calls",40.881089,-73.882678,2015-11-02 05:16:45.234857,2015-11-02 05:16:45.234857,
27,5295980814,"To The Pretty Brunette With A Puppy Named ""Remy"" - m4w",2015-11-01 20:28,/brk/mis/5295980814.html,brk,m4w,Williamsburg,"Think it was on Thursday last week. You stopped in for a coffee while you were walking your dog. I was outside eating my lunch. We made brief chit-chat. I asked what your dog's name is. ""Remy,"" you said, and smiled.Buy you a coffee or drink sometime?",40.709500,-73.956300,2015-11-02 05:17:00.247705,2015-11-02 05:17:00.247705,
12,5296058662,darling... How was work today? - w4m,2015-11-01 22:04,/mnh/mis/5296058662.html,mnh,w4m,"","How was work today darling? I know it was probably long, harsh, tiring, emotionally draining, etc... I know this because I saw that you decided to take tomorrow off, and I doubt it was to bring me flowers and candy and take me out to dinner, because I know you would never do that.Never. I'm not the sort of girl you would do that sort of thing for. Never have been, never will be. Guess who?",40.737500,-73.981300,2015-11-02 05:16:45.69045,2015-11-02 05:16:45.69045,
13,5296064751,I'm Stalking You Slightly - w4m,2015-11-01 21:58,/mnh/mis/5296064751.html,mnh,w4m,SomeplaceUSA,"Hi everyone Please don't flag.Hey there Sugar.I've been giving you hints all month leading you too this place.I want what I indirectly said before I started stalking you:A hot virtual connection.Also.The hint you gave was not a hint but kind of an evil sign.👗👗👗👗👗👗👗👗👖Instead.The other hint made me think you have access to my phone.My past is extensive also if that's what you meant too.So it scared me.But.....as I said.I need more from you.So.... this is your chance.Since I only 'kind of' stalk you I want to say, I will stop or crash and burn the next like a thomas rhet song.But I won't.You are countryI am rock n rollYou are clean cut but need someone to blame for your touch Everything ways.I don't know why I'm doing this but I am.Asurety of my longer future that includes either watch what I do or hopefully I tried as I close the door for the last time behind me.I am also locked in the first choice of your original quest until someone knocks it out of meThat's why I can't sell the few extra.Time will win as I use food sparingly.Obey me please.",40.786340,-73.963053,2015-11-02 05:16:46.943274,2015-11-02 05:16:46.943274,
14,5296069606,Grace farms - m4m,2015-11-01 21:55,/fct/mis/5296069606.html,fct,m4m,"New Canaan, CT","I sat near you as the sun was out and going down for a number of minutes as you enjoyed your coffee just before you left (I sat chatting with friends, facing toward you). I was attracted to you in the commons when I saw you at lunch, and glad we bumped into each other again. Would be interesting to connect here-- if interested, let me know what you were wearing.",41.141119,-73.49095,2015-11-02 05:16:48.40818,2015-11-02 05:16:48.40818,
15,5296067089,Tugging on heart strings at Grand Central Station - m4w,2015-11-01 21:53,/mnh/mis/5296067089.html,mnh,m4w,Midtown East,"I only saw you for a brief moment... I was on the 7 train platform going to citi field for Saturday night's Mets world series game. You were on the platform, wearing a beautiful short dress, rocking a Mets cap, playing what looked like a violin (or was it a fiddle?), sounded like ""take me out to the Ballgame"" while dancing around and waving your hips. I left 20 bucks in your violin case. You had a beautiful voice and instantly became my good luck charm. Too bad we lost the game. You made my night!",40.757501,-73.970008,2015-11-02 05:16:49.174963,2015-11-02 05:16:49.174963,
16,5296056251,Dylan Case - Dylan Sea - m4m,2015-11-01 21:52,/mnh/mis/5296056251.html,mnh,m4m,"","Dylan, lots of usual chatter and guys looking for youDylan, lots of usual chatter and guys looking for youDylan, lots of usual chatter and guys looking for you",40.7127837,-74.0059413,2015-11-02 05:16:50.137751,2015-11-02 05:16:50.137751,
17,5296051463,Sant Ambroeus - m4w,2015-11-01 21:36,/mnh/mis/5296051463.html,mnh,m4w,Nolita / Bowery,"We made eye contact as soon as I walked in. You had a beautiful smile :) . . ...and I clumsily ignored you trying to find my friends. I didn't mean to be rude, and I kept looking back at you in the restaurant. Me = Tall, Dark, Handsome You = Beautiful, BrunetteTalk to you soon,",40.725500,-73.998300,2015-11-02 05:16:50.60471,2015-11-02 05:16:50.60471,
18,5296050436,Century 21 queens - m4m,2015-11-01 21:35,/que/mis/5296050436.html,que,m4m,"",Estabamos en los perfumes y conversamos un rato. Me gustaria saber de ti. Eres Hispano y te dije que me gustaba el perfume de paco robanno. Eres muy guapo. Decidi tratar este medio de cominicacion para saber si podia contactarte,40.7127837,-74.0059413,2015-11-02 05:16:51.809445,2015-11-02 05:16:51.809445,
19,5296048688,Equinox COLUMBUS Circle Sunday morning - m4m,2015-11-01 21:33,/mnh/mis/5296048688.html,mnh,m4m,Midtown West,"I'm a tall guy....so,are you. You have very blond hair, very good shape. You walked into the steam room and asked me if I was recently on vacation because I have a nice tan. I said yes, I was recently in South Beach. You are incredibly hot. Let me know if you want to hook up, Very discreet here.",40.761546,-73.988604,2015-11-02 05:16:53.322876,2015-11-02 05:16:53.322876,
20,5296014874,Who's that girl at Madam Tussaud's? - m4w,2015-11-01 21:00,/mnh/mis/5296014874.html,mnh,m4w,Midtown West,"Madam Tussaud's wax musuem on halloween... your friend was impressed by my Mad Max costume. She had black leather - so did I, and so did you. Your costume was accentuating your gigantic sexy bosom and fantastic bod. We spoke about the desire to wear the costume you always wanted to wear as a kid. Your cute innocent voice is still in my ears. Hopefully I hear from you again.",40.761546,-73.988604,2015-11-02 05:16:54.090171,2015-11-02 05:16:54.090171,
21,5295990465,Buying Coffee This Morning - m4w,2015-11-01 20:49,/mnh/mis/5295990465.html,mnh,m4w,Upper East Side,Attractive blonde buying her iced coffee this morning on Madison Avenue. The exchange of glances and smiles was quick but hopefully the attraction is deep. Potentially discreet fun? Let me know the name of the store in your reply.,40.780199,-73.946004,2015-11-02 05:16:55.577565,2015-11-02 05:16:55.577565,
22,5296003147,Halloween on the G train at Bedford-Nostrand - m4w,2015-11-01 20:49,/brk/mis/5296003147.html,brk,m4w,"",It was Halloween. We were both waiting for the G train at Bedford-Nostrand. I was dressed as Gene from Wet Hot American Summer. You were in all black and looking hot (You said it was your backup costume). You complimented my costume. We both got on the same car but I waited too long to talk to you and then you got off at Metropolitan before I could get your name or number. I'd love to get a drink sometime.,40.7127837,-74.0059413,2015-11-02 05:16:56.342868,2015-11-02 05:16:56.342868,
23,5295990096,Northbound 4/5 Train Friday Afternoon - m4w,2015-11-01 20:42,/mnh/mis/5295990096.html,mnh,m4w,Lexington Avenue Line,Woman with black hair wearing tight fitted jacket that was oppositie me on the train from 14th Street until we both got off at 86th Street. Interested?,40.757552,-73.969055,2015-11-02 05:16:58.035139,2015-11-02 05:16:58.035139,
24,5295995069,4 girls who showed me their boobs - m4w,2015-11-01 20:41,/brk/mis/5295995069.html,brk,m4w,Whythe Hotel,You took turns showing me your boobs. Thank you! It was a long night. That made my night! Sorry you didn't enjoy the party.,40.645100,-73.945000,2015-11-02 05:16:58.504357,2015-11-02 05:16:58.504357,
25,5295992016,For you - m4w,2015-11-01 20:38,/mnh/mis/5295992016.html,mnh,m4w,"","Good Evening Precious,I have always wanted to chase after you, but after what happened, I was not sure how you would react.I have always loved you.I still do................immensely.........................................................................................................................................................................",40.7127837,-74.0059413,2015-11-02 05:16:59.297373,2015-11-02 05:16:59.297373,
26,5295989834,Cute cop in Bay Ridge - m4w,2015-11-01 20:36,/brk/mis/5295989834.html,brk,m4w,75st an 6th ave,"You were standing on 6th ave and Bay Ridge Pkwy, Probably working the marathon...with partners.I drove by slow, waved and smiled...you did the same...",40.625100,-74.030300,2015-11-02 05:16:59.782743,2015-11-02 05:16:59.782743,
148,5294879578,a - Moment -,2015-11-01 03:01,/brk/mis/5294879578.html,brk,t -,"","",40.7127837,-74.0059413,2015-11-02 05:19:17.233808,2015-11-02 05:19:17.233808,
28,5295977271,Guyanese Queen with dynamic Potential - w4m,2015-11-01 20:25,/que/mis/5295977271.html,que,w4m,"","All I need is a strong individual that is secure with themselves to help my potential energy turn into kinetic energy. All I achieved have finally came to a standstill. I need someone that loves Guyanese women, so I can provide real passion to you and all for you. I have decided to just focus on school, so I do not work due to my fulltime student status for Occupational Therapy. I know their are people that do both but I just rather not jeopardize my grades. Thus creating my stand still. I established myself somewhat and just need a bust in my transportation, a car to be specific. Granted I live in NYC where us New Yorkers are spoiled with the MTA but I'm moving on up. I am a passionate person and like what I like. I am chalk full of multiply business ventures but need a vehicle to get off the ground. I know its a long shot but I am willing on trying. Anything is possible in 2015 and so I'm here. Email me if you are a believer in me & this post. Just know I'm your Diamond Girl! Literally",40.7127837,-74.0059413,2015-11-02 05:17:01.32799,2015-11-02 05:17:01.32799,
29,5295973477,British guy who'd run the marathon on A train - w4m,2015-11-01 20:22,/mnh/mis/5295973477.html,mnh,w4m,A train 14th St stop,I was the blond in the yellow coat. I think if we'd had a little more time we'd have gotten each other's info. If you're in the city a few days more let's meet for a drink.,40.735276,-73.991051,2015-11-02 05:17:02.744373,2015-11-02 05:17:02.744373,
30,5295962511,"14th St.--Union Square platform, Brooklyn-bound N/Q/R - m4m",2015-11-01 20:12,/mnh/mis/5295962511.html,mnh,m4m,Union Square,"I was waiting for a Brooklyn-bound Q train. You were in shorts, and we glanced a few times. You winked, too. Sorry we didn't have a chance to talk . . .",40.736722,-73.990226,2015-11-02 05:17:04.367774,2015-11-02 05:17:04.367774,
31,5275477633,Taylor from Yogurt store on Rossville - m4w,2015-11-01 20:10,/stn/mis/5275477633.html,stn,m4w,Staten Island,We spoke for about a half hour last week while you smoked a cigarette outside.I think you are incredibly hot.The only reason I know your name is because your co worker told me.You told me your age & that you have a boyfriend..I hope to see you this week again...,40.535200,-74.211600,2015-11-02 05:17:04.914846,2015-11-02 05:17:04.914846,
32,5295951024,Red headMaximilian building lic - m4w,2015-11-01 20:02,/que/mis/5295951024.html,que,m4w,Long Island city,I see you every morning and afternoon. You are a beautiful woman that I always notice and I just want to take you to dinner or a drink and know the beauty who keeps walking past me. You are voluptuous red head I live across the street. Anthony,40.744600,-73.934500,2015-11-02 05:17:05.440369,2015-11-02 05:17:05.440369,
33,5295946819,Diana from Long Island City - m4w,2015-11-01 19:59,/que/mis/5295946819.html,que,m4w,LIC,I was your neighbor on the first floor that helped yu catch your cat and got to know you as you were moving. I always wanted to tell you how beautiful I thought you were and how much I wanted you. I hope you reads this and feel the same way. I always woke you up with my stupid loud tv lolAnthony,40.80107,-73.966835,2015-11-02 05:17:06.951388,2015-11-02 05:17:06.951388,
34,5295927515,Our kids played together in loretta park.. - m4w,2015-11-01 19:42,/brx/mis/5295927515.html,brx,m4w,Morris park,"Im not sure what it was about you, but you just captured my attention the entire time. Before we left i asked if you were seeing anyone and you said yes.. I was pretty crushed and i didnt try and get your number. I probably should of asked for your ig or something. Ill prob never see you again nor will you see this message Jasmine. 😢",40.847405,-73.857245,2015-11-02 05:17:08.484724,2015-11-02 05:17:08.484724,
35,5295926846,25 Mile Volunteer Station - m4m,2015-11-01 19:42,/mnh/mis/5295926846.html,mnh,m4m,Midtown,We volunteered together at the 25 mile water station during the NYC marathon. You were wearing neon yellow running shorts overtop black running tights. We split ways before I could ask for your number.,40.75342,-73.974415,2015-11-02 05:17:10.064397,2015-11-02 05:17:10.064397,
